﻿FID;Nombre Estación;Troncal Estación;coord_x;coord_y;geopoint
68;Avenida Rojas;K;-74.10890731723046;4.66215139473262;4.6621513947299995, -74.1089073172
55;Corferias;K;-74.08919247588183;4.634066829243283;4.63406682924, -74.0891924759
61;Avenida 39;A;-74.06871993703207;4.626757311878864;4.62675731188, -74.068719937
91;Américas - Cr 53A;F;-74.1102595197866;4.627689730679082;4.62768973068, -74.1102595198
80;Banderas;F;-74.14554627929303;4.631255970233346;4.63125597023, -74.1455462793
71;Coliseo;E;-74.07820571973261;4.6518814326027105;4.6518814326, -74.0782057197
140;Hospitales;L;-74.08425635646476;4.590260778616501;4.59026077862, -74.0842563565
139;Hospital;H;-74.08594045867063;4.595384055320146;4.59538405532, -74.0859404587
113;Consuelo;H;-74.12404676035935;4.560521048747765;4.56052104875, -74.1240467604
6;Quirigua;D;-74.10831190218205;4.706417091726831;4.70641709173, -74.1083119022
24;Calle 85;B;-74.05964400708665;4.672291461787437;4.6722914617899995, -74.0596440071
57;Av. El Dorado;E;-74.07977575566032;4.631599929456736;4.63159992946, -74.0797757557
33;Puentelargo;C;-74.06688065175919;4.6927743278216365;4.69277432782, -74.0668806518
89;Ricaurte;E;-74.09361506258692;4.611967305795767;4.6119673058, -74.0936150626
7;Carrera 90;D;-74.10420298830955;4.704464371876892;4.70446437188, -74.1042029883
95;Paloquemao;E;-74.0890591802667;4.617485612758115;4.6174856127599995, -74.0890591803
99;Av Jiménez;J;-74.07900750834452;4.602912280189001;4.60291228019, -74.0790075083
17;Escuela Militar;D;-74.0689900658279;4.674968220567205;4.67496822057, -74.0689900658
19;Polo;D;-74.06450130203247;4.670328946519252;4.67032894652, -74.064501302
106;Aguas;K;-74.06841649331561;4.60254983188774;4.60254983189, -74.0684164933
124;Fucha;H;-74.098790408754;4.583306474397919;4.5833064744000005, -74.0987904088
144;Universidades;K;-74.06689278710036;4.605380740179085;4.60538074018, -74.0668927871
136;Nariño;H;-74.09441728149183;4.58576650723046;4.58576650723, -74.0944172815
42;Suba - Av. Boyacá;C;-74.07473772776419;4.7213965419009405;4.7213965419, -74.0747377278
29;Humedal Córdoba;C;-74.0710561397774;4.706092142099334;4.7060921421, -74.0710561398
40;Suba - Tv. 91;C;-74.08519782052694;4.737865754879429;4.73786575488, -74.0851978205
119;Olaya;H;-74.10700089097493;4.579028740417956;4.57902874042, -74.107000891
72;Simon Bolívar;E;-74.07755017056077;4.65785014740983;4.65785014741, -74.0775501706
74;Calle 72;A;-74.0620795635024;4.658233808615891;4.65823380862, -74.0620795635
83;Marsella;F;-74.12860264717112;4.629488205861254;4.6294882058599995, -74.1286026472
138;Policarpa;L;-74.08696723124376;4.5861566214909395;4.58615662149, -74.0869672312
78;Biblioteca Tintal;F;-74.15937039660648;4.6377978902242045;4.63779789022, -74.1593703966
100;Museo del Oro;J;-74.07298127794029;4.601125624367509;4.60112562437, -74.0729812779
73;Flores;A;-74.06305065759588;4.654875158585929;4.65487515859, -74.0630506576
30;Niza - Calle 127;C;-74.07231728729973;4.711977791490517;4.71197779149, -74.0723172873
25;Virrey;B;-74.05881661559083;4.677185686945653;4.67718568695, -74.0588166156
37;Calle 127;B;-74.05411344190338;4.705337084585388;4.70533708459, -74.0541134419
123;Avenida 1 de Mayo;L;-74.09363806844134;4.5769540927183865;4.57695409272, -74.0936380684
112;Molinos;H;-74.12172496569283;4.5568096077298215;4.55680960773, -74.1217249657
23;La Castellana;E;-74.0646892242;4.675399133102884;4.6753991331, -74.0646892242
90;San Facón Cr 22;F;-74.08666444239914;4.609581369036932;4.60958136904, -74.0866644424
79;Tv 86;F;-74.1529530774568;4.635053035374153;4.6350530353699995, -74.1529530775
